contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_200000000015128;쇼핑;c2;소소한 상상점;2;동부;region1;제주시;16;구좌;구좌읍,평대리,소품샵,핸드메이드,잡화,액세서리
CONT_000000000500444;관광지;c1;연북정;1;북부;region1;제주시;15;조천;문화유적지,커플,아이,유도및안내시설,아주어려움
CNTS_200000000014283;관광지;c1;코기절미;1;북부;region1;제주시;11;제주시내;반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,멍푸치노,멍아이스,멍화채,반려견유치원,반려견호텔,반려동물동반식당카페
CNTS_200000000008154;쇼핑;c2;곱은달사진관;1;북부;region1;제주시;15;조천;흑백사진관,스튜디오,쇼핑,관광기념품,상점/상가
CNTS_200000000008957;테마여행;c6;2019년 8월 놓치지 말아야 할 제주 관광 10선 <무더위를 넘어서는 시원함, 8월 제주는 서넝서넝>;1;북부;region1;제주시;15;조천;우도,비양도,가파도,마라도,추자도,낭끼오름(남거봉),제주국제관악제,힐링콘서트노고록이,산짓물파크콘서트,판포리,용수리,김만덕기념관,제주물사랑홍보관
CONT_000000000501237;음식점;c4;명문가시리식당;2;동부;region2;서귀포시;26;표선;흑돼지,몸국,고기국수,보말국,두루치기,음식,공용주차장,현금결제,카드결제,화장실,무료WIFI,음료대,유도및안내시설,경보및피난시설,아주어려움,착한가격업소
CNTS_200000000011855;테마여행;c6;비오는 날 가기 좋은 제주 여행지;2;동부;region2;서귀포시;26;표선;부모,커플,혼자,친구,아이,흐림,비.눈,휴식/힐링,체험관광,미술/박물관,문화유적지,사계절,휴식/치유
CNTS_200000000007595;음식점;c4;술도가제주바당;2;동부;region1;제주시;16;구좌;술,전통주,술빚기체험,양조장,맑은바당,한바당,탁주,음식,럭셔리트래블인제주,약주,화장실,공용주차장,현금결제,카드결제,카드결제,현금결제,맑은바당,어린이출입가능
CNTS_200000000015287;테마여행;c6;<제주 4.3과 다크투어리즘>의 흔적을 찾아서;2;동부;region1;제주시;16;구좌;4.3,제주역사,제주다크투어리즘.제주역사기행.4.3유적,4.3사건
CNTS_200000000008614;음식점;c4;뿔소라몽땅정식;4;남부;region2;서귀포시;21;서귀포시내;뿔소라,죽,정식
CNTS_000000000022173;관광지;c1;제주 더팔팔농장;2;동부;region2;서귀포시;17;성산;커플,친구,아이,체험관광,실내,부모,혼자,체험,어린이,어트랙션,공용주차장,화장실
CNTS_200000000007217;쇼핑;c2;윌로우씨  제주캔들공방 ;1;북부;region1;제주시;11;제주시내;캔들,기념품,공용주차장,현금결제,카드결제,화장실,무료WIFI,카드결제,현금결제,무통장입금,카카오톡QR코드진행중,영어,아주어려움,기념품/소품,가능
CNTS_200000000013423;음식점;c4;두리호집;3;서부;region1;제주시;13;한림;식당,회,음식,안전여행스탬프,아나고회,아나고탕,아나고구이,갈치조림,고등어조림,낙지회,문어숙회,물회
CNTS_000000000021099;관광지;c1;평수포구;3;서부;region1;제주시;13;한림;포구,해변,문화유적지,아주어려움
CNTS_000000000019095;관광지;c1;참굴비조형물;1;북부;region3;섬 속의 섬;32;추자도;포토스팟,부모,친구,커플,혼자,휴식,비/바람/눈,안개/흐림,맑음,봄,여름,가을,겨울,중/장년,청년,노년,어트랙션
